,동,단독가구,인구,택배함수,택배착지량점수,범죄발생,여성인구
0,사직동,1487,9636,0.0,1.1176470588235294,226.23529411764707,5256
1,삼청동,380,2780,0.0,1.1176470588235294,226.23529411764707,1452
2,부암동,1129,9951,0.0,1.1176470588235294,226.23529411764707,5176
3,평창동,1302,18377,0.0,1.1176470588235294,226.23529411764707,9819
4,무악동,494,8365,0.0,1.1176470588235294,226.23529411764707,4468
5,교남동,1219,10321,0.0,1.1176470588235294,226.23529411764707,5547
6,가회동,631,4305,0.0,1.1176470588235294,226.23529411764707,2311
7,종로1.2.3.4가동,2371,8372,0.0,1.1176470588235294,226.23529411764707,3482
8,종로5·6가동,1608,5554,0.0,1.1176470588235294,226.23529411764707,2582
9,이화동,2094,7832,0.0,1.1176470588235294,226.23529411764707,4179
10,창신1동,1069,5761,1.0,1.1176470588235294,226.23529411764707,2694
11,창신2동,1288,9231,0.0,1.1176470588235294,226.23529411764707,4537
12,창신3동,613,6875,0.0,1.1176470588235294,226.23529411764707,3475
13,숭인1동,1007,6225,1.0,1.1176470588235294,226.23529411764707,3249
14,숭인2동,2988,10165,0.0,1.1176470588235294,226.23529411764707,5079
15,청운효자동,1378,12231,1.0,1.1176470588235294,226.23529411764707,6540
16,혜화동,4925,19125,1.0,1.1176470588235294,226.23529411764707,10251
17,소공동,435,3225,0.0,2.2666666666666666,288.46666666666664,1574
18,회현동,867,5466,0.0,2.2666666666666666,288.46666666666664,2589
19,명동,581,3666,1.0,2.2666666666666666,288.46666666666664,2006
20,필동,1020,4729,0.0,2.2666666666666666,288.46666666666664,2324
21,장충동,1509,5310,2.0,2.2666666666666666,288.46666666666664,2643
22,광희동,1391,6349,0.0,2.2666666666666666,288.46666666666664,3107
23,을지로동,781,1869,0.0,2.2666666666666666,288.46666666666664,747
24,신당5동,2182,10714,0.0,2.2666666666666666,288.46666666666664,5510
25,황학동,2963,13428,0.0,2.2666666666666666,288.46666666666664,7048
26,중림동,1627,12416,0.0,2.2666666666666666,288.46666666666664,6233
27,신당동,2223,9066,1.0,2.2666666666666666,288.46666666666664,4642
28,다산동,2466,14425,2.0,2.2666666666666666,288.46666666666664,7449
29,약수동,2054,17052,2.0,2.2666666666666666,288.46666666666664,9054
30,청구동,1924,13958,0.0,2.2666666666666666,288.46666666666664,7346
31,동화동,795,10586,0.0,2.2666666666666666,288.46666666666664,5461
32,후암동,2800,17618,0.0,2.875,207.0625,9043
33,용산2가동,1911,10866,1.0,2.875,207.0625,5525
34,남영동,2382,7886,0.0,2.875,207.0625,3143
35,원효로2동,1601,13998,0.0,2.875,207.0625,7416
36,효창동,1082,10265,2.0,2.875,207.0625,5411
37,용문동,1576,12123,0.0,2.875,207.0625,6331
38,이촌1동,1212,28383,0.0,2.875,207.0625,15012
39,이촌2동,803,8528,0.0,2.875,207.0625,4524
40,이태원1동,1479,8303,1.0,2.875,207.0625,3952
41,이태원2동,1874,10605,0.0,2.875,207.0625,5611
42,서빙고동,1178,13914,0.0,2.875,207.0625,7217
43,보광동,3121,14974,1.0,2.875,207.0625,7330
44,청파동,5218,20160,1.0,2.875,207.0625,10784
45,원효로1동,2735,16591,1.0,2.875,207.0625,8614
46,한강로동,3755,23294,0.0,2.875,207.0625,12138
47,한남동,4154,23157,1.0,2.875,207.0625,11756
48,왕십리2동,2275,16956,0.0,3.0588235294117645,147.76470588235293,8769
49,마장동,3674,23132,0.0,3.0588235294117645,147.76470588235293,11787
50,사근동,4754,13512,1.0,3.0588235294117645,147.76470588235293,6790
51,행당1동,1930,14198,0.0,3.0588235294117645,147.76470588235293,7378
52,행당2동,1764,23716,2.0,3.0588235294117645,147.76470588235293,12624
53,응봉동,1053,15640,0.0,3.0588235294117645,147.76470588235293,8208
54,금호1가동,1538,15600,0.0,3.0588235294117645,147.76470588235293,8175
55,금호4가동,1624,14572,0.0,3.0588235294117645,147.76470588235293,7613
56,성수1가1동,2435,17053,0.0,3.0588235294117645,147.76470588235293,8503
57,성수1가2동,2499,13151,0.0,3.0588235294117645,147.76470588235293,6670
58,성수2가1동,2990,16628,1.0,3.0588235294117645,147.76470588235293,7974
59,성수2가3동,2091,11304,1.0,3.0588235294117645,147.76470588235293,5567
60,송정동,2305,11001,0.0,3.0588235294117645,147.76470588235293,5194
61,용답동,3111,12677,1.0,3.0588235294117645,147.76470588235293,6157
62,왕십리도선동,3632,27087,0.0,3.0588235294117645,147.76470588235293,14214
63,금호2.3가동,2519,23047,1.0,3.0588235294117645,147.76470588235293,12073
64,옥수동,2391,26493,0.0,3.0588235294117645,147.76470588235293,14144
65,화양동,12704,25680,2.0,3.733333333333333,267.4,13822
66,군자동,5546,21775,0.0,3.733333333333333,267.4,11087
67,중곡1동,3282,15940,3.0,3.733333333333333,267.4,8223
68,중곡2동,3780,21966,0.0,3.733333333333333,267.4,11632
69,중곡3동,3144,16545,0.0,3.733333333333333,267.4,8391
70,중곡4동,3747,29330,0.0,3.733333333333333,267.4,14999
71,능동,3251,11725,0.0,3.733333333333333,267.4,6361
72,구의1동,5591,22430,1.0,3.733333333333333,267.4,11737
73,구의2동,3049,27091,2.0,3.733333333333333,267.4,14040
74,구의3동,3110,29145,0.0,3.733333333333333,267.4,15309
75,광장동,1501,35193,0.0,3.733333333333333,267.4,18188
76,자양1동,4616,23385,0.0,3.733333333333333,267.4,12128
77,자양2동,3098,25463,2.0,3.733333333333333,267.4,13135
78,자양3동,2131,28658,0.0,3.733333333333333,267.4,14930
79,자양4동,3751,20980,3.0,3.733333333333333,267.4,10700
80,회기동,4044,12566,2.0,3.7142857142857135,150.71428571428572,6802
81,휘경1동,3336,15590,1.0,3.7142857142857135,150.71428571428572,8386
82,휘경2동,4785,24828,0.0,3.7142857142857135,150.71428571428572,12535
83,청량리동,3236,19566,0.0,3.7142857142857135,150.71428571428572,9822
84,용신동,8464,32416,0.0,3.7142857142857135,150.71428571428572,16106
85,제기동,5399,26621,2.0,3.7142857142857135,150.71428571428572,13270
86,전농1동,5814,29949,1.0,3.7142857142857135,150.71428571428572,14960
87,전농2동,1691,19192,0.0,3.7142857142857135,150.71428571428572,9986
88,답십리2동,3448,29000,1.0,3.7142857142857135,150.71428571428572,14896
89,장안1동,5502,38890,1.0,3.7142857142857135,150.71428571428572,19600
90,장안2동,3212,32870,1.0,3.7142857142857135,150.71428571428572,16481
91,이문1동,5774,20686,1.0,3.7142857142857135,150.71428571428572,10678
92,이문2동,2503,20574,0.0,3.7142857142857135,150.71428571428572,10616
93,답십리1동,3717,29511,1.0,3.7142857142857135,150.71428571428572,15256
94,면목2동,3974,24695,0.0,3.125,266.75,12412
95,면목4동,2678,19465,1.0,3.125,266.75,9786
96,면목5동,1540,14811,1.0,3.125,266.75,7371
97,면목7동,3294,22368,0.0,3.125,266.75,11166
98,상봉1동,2377,24681,1.0,3.125,266.75,12649
99,상봉2동,5309,20548,1.0,3.125,266.75,10661
100,중화1동,2353,20171,0.0,3.125,266.75,10315
101,중화2동,5455,25541,0.0,3.125,266.75,12446
