,자치구,동,1인세대,2인세대,택배착지량점수(구별),범죄발생(구별),지하철 승객 수,버스 승객 수,방범용 CCTV(구별),안심택배함수,인구밀도,20~50인구,여성인구,위험경험 비율(구별),다가구주택,아파트,다세대주택,주차장 수,여성 안심 스카우트 이용실적(구별),서울 2030 여성 1인가구 수(구별),길단위 상존인구,건물단위 상존인구,주거 인구,직장 인구,오차_x,오차_y
0,광진구,군자동,6869,2069,3.73333333333333,267.4,0,645994,225,0,29599,13391,10929,32.8,1145,779,1978,1177,214.33333333333334,1233.2,72981,129390,272,32,-0.9546796967152116,-1
1,광진구,중곡4동,5220,3313,3.73333333333333,267.4,0,272853,218,0,12851,17641,14827,32.8,1177,314,4746,2236,214.33333333333334,1233.2,31157,50558,127,22,-0.9699499221001653,-1
2,광진구,자양1동,6403,2492,3.73333333333333,267.4,0,458678,184,0,41596,14770,11954,32.8,893,784,3118,1372,214.33333333333334,1233.2,62632,90608,146,11,-0.8217599025480884,-1
3,동대문구,용신동,12046,3294,3.71428571428571,150.714285714285,2597297,2369781,266,0,20250,20773,16587,31.6,1040,4446,1522,1409,1387.142857142857,1084.2142857142858,80112,140709,356,94,-1.1886874274214119,-1
4,중랑구,중화2동,7341,3121,3.125,266.75,939103,779098,226,0,25815,15298,12349,33.4,1704,868,2790,919,500.9375,595.125,92676,185616,302,81,-0.9191233708324956,-1
5,강북구,수유3동,7373,2669,2.46153846153846,295.230769230769,0,1570801,148,0,33204,14541,11778,31.5,1237,301,3485,1312,813.3076923076923,580.7692307692307,98272,145945,308,41,-0.9830457724987345,-1
6,강북구,송천동,6559,3307,2.46153846153846,295.230769230769,1873808,1090957,191,0,30968,15065,13540,31.5,1734,1255,2568,967,813.3076923076923,580.7692307692307,99758,159612,367,38,-0.9288886646721711,-1
7,강서구,화곡1동,14378,6396,5.75,246.2,3869350,1390821,239,0,47661,34648,27193,36.9,831,5986,11128,2622,157.2,1118.3,5986,15202,42,6,-1.0679907506178297,-1
8,영등포구,대림2동,3991,1527,4.44444444444444,323.333333333333,0,337571,276,0,35956,7135,8805,37.7,1235,1529,910,1637,141.5,944.1666666666666,49298,62177,232,28,-0.9017171082151192,-1
9,관악구,행운동,11530,2945,4.09523809523809,253.714285714285,0,1196692,224,0,41388,20501,15199,32.5,921,3530,2181,1238,489.8095238095238,1907.857142857143,72108,170471,480,105,-1.2785978952427122,-1
10,관악구,신원동,7039,2060,4.09523809523809,253.714285714285,0,211173,177,0,35073,12106,9272,32.5,1121,677,1653,1125,489.8095238095238,1907.857142857143,95460,173271,359,48,-1.025057400601469,-1
11,관악구,서림동,9594,2341,4.09523809523809,253.714285714285,0,769700,211,0,24657,16265,10732,32.5,779,1763,1951,1120,489.8095238095238,1907.857142857143,13556,23442,44,9,-0.8543318237680209,-1
12,관악구,난곡동,5891,3247,4.09523809523809,253.714285714285,0,816354,369,0,29223,16059,13578,32.5,1168,915,4470,1094,489.8095238095238,1907.857142857143,18840,30883,92,7,-0.7633330822748791,-1
13,강동구,천호2동,8961,3983,3.83333333333333,223.0,0,832440,148,0,22453,21138,17190,32.6,1134,5011,2187,1936,449.3888888888889,562.0555555555555,9795,23878,0,17,-0.7935437729295304,-1
