,택배 착지량,x,y,경도,위도
0,4855237,315559,552770,171.6182366,27.58629804
2,4861948,314971,552836,171.6645721,27.56279682
3,4853658,315506,552788,171.606696,27.59060054
4,4857067,315676,552907,171.6317917,27.58166746
5,4866695,314834,552956,171.698238,27.54796083
6,4865452,315472,552880,171.6914117,27.55570217
7,4856705,315537,553049,171.6287283,27.58184069
8,4853436,315701,553057,171.6057413,27.59250398
9,4862648,315415,553005,171.6710697,27.56358327
10,4892635,315330,552899,171.8858788,27.47481821
11,4855647,315414,552823,171.6207089,27.58416275
12,4850523,315693,553298,171.5847392,27.6010169
13,4860157,315537,552965,171.6535609,27.57169024
14,4871840,314691,552791,171.734717,27.531915
15,4853429,315759,553035,171.6058823,27.59289658
16,4859263,315598,553025,171.6473323,27.57471009
17,4855246,315446,552811,171.6179285,27.58554694
18,4857285,315646,552914,171.6332612,27.58083411
19,4857823,314879,553012,171.6346012,27.57433507
20,4857597,315677,552995,171.6356083,27.58011542
21,4876928,315193,552795,171.7728863,27.52016091
22,4849537,315289,552784,171.5763041,27.60132298
23,4860265,315125,552839,171.6529781,27.56873222
24,4858657,315361,553013,171.6421912,27.57497288
25,4861996,315390,553023,171.6662997,27.56534042
26,4862605,314803,552955,171.6687413,27.55978863
27,4850413,315762,553122,171.5841746,27.60178302
28,4853582,315530,553123,171.6062281,27.59097792
29,4853347,315209,553122,171.6034771,27.58960983
30,4891418,315131,553117,171.8765119,27.47712964
31,4879209,315412,553115,171.7899689,27.51485068
32,4850412,315809,553165,171.5843225,27.60208754
33,4850240,315786,553184,171.5830078,27.60244563
34,4852461,315580,553161,171.5983223,27.59459437
35,4852476,315482,553172,171.598107,27.59392161
36,4853399,315133,553178,171.6036007,27.58896948
37,4855719,315549,553170,171.6216725,27.58481673
38,4855950,315611,553149,171.6235395,27.58453509
39,4862297,315273,553109,171.6680777,27.56370564
41,4852103,315706,553118,171.5961604,27.59645519
42,4861468,315506,552968,171.6628861,27.56763638
43,4854089,315373,553180,171.6093598,27.58848037
44,4861476,315445,552992,171.6627423,27.56722198
45,4852848,315653,553004,171.6013496,27.59392487
46,4850761,315798,553178,171.5867998,27.60099091
47,4881084,314995,552794,171.8020367,27.50666841
48,4858381,314889,553171,171.6386484,27.57275871
49,4859389,314650,553076,171.6451107,27.56826329
50,4874065,315113,552796,171.75208,27.52807109
51,4878812,314962,553043,171.7856371,27.51314138
52,4857543,314768,553054,171.6322205,27.5744466
53,4874330,315045,553042,171.7537574,27.52685655
54,4857736,315197,552898,171.6350244,27.57662952
55,4877099,314961,552896,171.7733474,27.51817412
56,4885814,315111,552896,171.8363167,27.49349292
57,4856719,315377,553239,171.628301,27.58077367
58,4854033,315447,553203,171.6092008,27.58911963
59,4647342,315825,553141,170.0991521,28.19707176
60,4850503,315061,553255,171.5825098,27.59702042
61,4850628,315501,553129,171.5848618,27.59947627
64,4851870,315530,553192,171.5939018,27.5960111
